total_cup_points,species,country_of_origin,altitude_mean_meters,processing_method,aroma,flavor,aftertaste,acidity,body,balance,region
84,Arabica,Brazil,1038.5,Natural / Dry,7.58,7.83,7.75,7.67,7.67,8.0,"minas gerais, br"
84,Arabica,Guatemala,1310.64,Washed / Wet,7.92,7.75,7.67,7.67,7.83,7.92,oriente
84,Arabica,El Salvador,1500.0,Natural / Dry,8.42,8.08,7.5,7.17,7.58,8.17,apaneca
84,Arabica,Colombia,1750.0,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,huila
84,Arabica,Guatemala,1310.64,Natural / Dry,7.83,7.5,7.5,8.0,7.83,7.83,guatemala
84,Arabica,Uganda,1600.0,Washed / Wet,7.83,7.75,7.5,7.83,7.83,7.75,mt. rwenzori
84,Arabica,Indonesia,1310.64,Natural / Dry,7.81,7.88,7.56,7.75,7.63,7.75,aceh tengah
84,Arabica,Colombia,442.0,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,huila
84,Arabica,Taiwan,968.0,Washed / Wet,7.58,7.67,7.67,7.67,7.75,7.83,"nanxi dist., tainan city 臺南市楠西區"
84,Arabica,Guatemala,1310.64,Washed / Wet,8.0,7.75,7.5,7.58,7.92,7.67,oriente
84,Arabica,Colombia,1775.0,Washed / Wet,7.92,7.75,7.67,7.75,7.67,7.67,huila
84,Arabica,Guatemala,1550.0,Washed / Wet,7.58,7.75,7.67,8.0,7.75,7.67,"aldea xeucalvitz, ixil region, quiche department"
84,Arabica,United States (Hawaii),1310.64,Natural / Dry,7.83,7.75,7.83,7.83,7.42,8.08,kona
84,Arabica,Mexico,1480.0,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,santo domingo cacalotepec
84,Arabica,Ethiopia,1800.0,Natural / Dry,7.92,7.92,7.83,8.0,7.92,7.92,"ethiopia, sidamo"
84,Arabica,Ethiopia,1800.0,Natural / Dry,7.83,7.75,7.67,7.75,7.33,7.75,sidamo
84,Arabica,Honduras,1500.0,Washed / Wet,7.42,7.83,7.75,7.92,7.75,7.58,comayagua
84,Arabica,Guatemala,1706.88,Washed / Wet,7.67,7.83,7.58,7.92,7.75,7.67,huehuetenango
84,Arabica,Colombia,1600.0,Washed / Wet,7.67,7.67,7.83,7.58,7.58,7.83,huila
